pair,are_same_entity,confidence,left_norm,right_norm
2,False,0.8,american free enterprise chamber of commerce,chambers of commerce
3,False,1.0,asian american bar assn of new york,new jersey state bar assn
4,False,0.6,ctr for judeo-christian morality,ctr for morality
5,False,0.9,intl assn of chiefs of police,michigan assn of chiefs of police
6,False,0.5,freedom fdn of minnesota,freedom fund
7,False,0.7,neighbors helping neighbors (new york),new york justice for our neighbors
8,False,0.8,idaho coalition against sexual and domestic violence,natl resource ctr on domestic violence
9,True,0.95,islam and religious freedom action team of the religious freedom inst,religious freedom inst islam and religious freedom action team
10,False,1.0,american assn of university women-michigan chapter,university of michigan
1,False,0.9,central florida assn of criminal defense lawyers,maine assn of criminal defense lawyers
2,False,0.7,freedom fdn,freedom x
3,False,0.9,montana shooting sports assn,virginia shooting sports assn
4,True,0.85,job creators network fdn,job creators network fdn legal action fund
5,False,0.8,aclu of minnesota,era minnesota
6,False,0.6,american assn of independent music,american independent natl comm
7,False,0.8,mennonite church usa,peace mennonite church
8,True,0.95,natl assn of home builders,natl assn of home builders of the united states
9,False,0.85,family forum,louisiana family forum
10,False,0.9,border project,river project
1,False,0.9,alabama policy inst,inst for justice
2,False,0.9,california apartment assn,fox valley apartment assn
3,False,0.8,atlantic union conference of seventh-day adventists,seventh-day adventist kinship intl
4,False,0.95,arkansas school boards assn,maine school boards assn
5,False,0.95,aclu of idaho,aclu of indiana
6,False,0.95,american fed of state county and municipal employees afl-cio,american fed of teachers
7,False,0.9,buckeye firearms assn,buckeye power
8,False,0.85,indiana health care assn,indiana primary health care assn
9,False,0.9,california change lawyers,women’s fdn of california
10,False,0.95,chamber of commerce of the united states of america,jewish war veterans of the united states of america
1,False,0.9,ctr for american rights,ctr for reproductive rights
2,False,0.95,earlens corporation,siemens corporation
3,False,0.9,asian pacific american labor alliance afl-cio,coalition of labor union women afl-cio
4,False,0.7,health alliance plan,plan c
5,True,0.95,intl conference of evangelical chaplain endorcers,intl council of evangelical chaplain endorsers
6,False,0.95,arkansas state chamber of commerce,kentucky chamber of commerce
7,False,0.9,natl assn of medical examiners,natl medical assn
8,False,1.0,american bar assn,dominican university
9,False,0.8,community health plan of washington,washington assn for community health
10,False,0.85,eagle forum,pennsylvania eagle forum
1,False,0.9,children’s defense fund,transgender children’s legal defense fund
2,False,0.9,natl assn of police org,natl police accountability project
3,True,0.95,bazelon ctr for mental health law,judge david l. bazelon ctr for mental health law
4,False,0.8,cornell free speech alliance,tully ctr for free speech
5,True,0.95,aclu of the district of columbia,american civil liberties union fdn
6,True,0.9,creating law enforcement accountability and responsibility,creating law enforcement accountability and responsibility project
7,False,0.95,inst for justice,pacific research inst
8,False,0.85,innovation alliance,innovation defense fdn
9,False,0.95,boise metro chamber of commerce,kansas chamber of commerce
10,False,0.9,brennan ctr for justice,tax law ctr at nyu law
1,False,0.9,aclu fdn of texas,aclu of pennsylvania
2,False,0.9,maine coalition to end domestic violence,utah domestic violence coalition
3,False,0.8,pennsylvania public interest research grp,u.s. public interest research grp
4,False,0.95,assn of the bar of the city of new york,legal aid soc (new york)
5,False,0.95,washington bar assn,washington policy ctr
6,False,0.95,american bar assn,dfw muslim bar assn
7,False,0.95,d.c. assn of criminal defense lawyers,missouri assn of criminal defense lawyers
8,False,0.7,children’s ctr,ctr for law and military policy
9,False,0.95,federal public defender district of nevada,federal public defender for the district of guam
10,False,0.85,alliance for catholic health care,catholic health assn
1,False,0.9,georgia coalition against domestic violence,iowa coalition against domestic violence
2,False,0.95,natl coalition against domestic violence,natl coalition against violent athletes
3,False,0.9,catholic assn fdn,catholic medical assn
4,False,0.95,california assn of realtors,new york assn of realtors
5,False,0.85,alabama ctr for law and liberty,ctr for human liberty
6,False,0.95,aclu of the district of columbia,american civil liberties union of virginia
7,True,1.0,general conference of seventh-day adventists,general conference of the seventh-day adventists
8,False,0.9,american health care assn,community health grp
9,False,0.85,institutional religious freedom alliance,islam and religious freedom action team (irf) of the religious freedom inst
10,False,0.9,california women’s law ctr,children’s law ctr of massachusetts
1,False,0.7,fmi,food industry assn
2,False,0.9,asian american bar assn of new york,lgbt bar assn of greater new york
3,False,0.95,disability rights florida,disability rights michigan
4,False,0.8,california women lawyers,women’s fdn of california
5,False,0.9,california chamber of commerce,orthodox jewish chamber of commerce
6,False,0.95,apartment owners assn of california,gun owners of california
7,False,0.85,arizona assn for justice,arizona attorneys for criminal justice
8,False,0.9,louisiana coalition for reproductive freedom,rhode island ctr for freedom and prosperity
9,False,0.95,aclu fdn of arizona,aclu of louisiana
10,False,0.95,maryland office of the public defender,ohio public defender
1,True,0.95,"natl assn of parents (d/b/a ""parentsusa"")",natl assn of parents. d/b/a parentsusa
2,False,0.8,60plus american assn of senior citizens,senior citizens league
3,False,0.7,administer justice,comm for justice
4,False,0.9,arizona coalition to end sexual and domestic violence,washington state native american coalition against domestic violence and sexual assault
5,False,0.85,homeless advocacy project,recovery advocacy project
6,False,0.9,ctr for family and human rights,hindus for human rights
7,False,0.95,nokota capital management lp,ra capital management lp
8,False,0.7,california women’s law ctr,women’s ctr
9,False,0.8,central city assn,central city east assn of los angeles
10,True,0.9,lgbt bar assn of new york,lgbt bar of new york
1,False,0.9,march for life,march for our lives action fund
2,False,0.8,massachusetts lgbtq bar assn,natl lgbtq+ bar assn
3,False,0.95,natl apartment assn,san francisco apartment assn
4,False,1.0,rhode island assn of criminal lawyers,rhode island trucking assn
5,False,0.9,rincon band of luiseno indians,soboba band of luiseño indians
6,False,1.0,greater pensacola chamber of commerce,kansas chamber of commerce
7,True,0.95,washington assn of sheriffs and police chiefs,washington state assn of sheriffs and police chiefs
8,False,0.85,lgbt bar assn of los angeles,lgbtq+ lawyers assn of los angeles
9,False,0.9,natl assn of regulatory utility commissioners,utility air regulatory grp
10,False,1.0,aclu of minnesota,aclu of texas
1,False,0.9,alaska family action,american family assn
2,False,0.95,asian american bar assn of new york,new york state psychological assn
3,False,0.8,bader family fdn,family fdn (virginia)
4,False,0.9,administer justice,inst for justice
5,False,0.9,caring works,housing works
6,False,0.85,(new) orleans public defenders,public defender assn
7,False,0.9,autonomic technologies,trane technologies
8,False,0.85,ctr for environmental accountability,wisconsin environment
9,False,0.95,asian american legal defense and education fund,equally american legal defense and education fund
10,False,0.9,family farm action alliance,family farm alliance
1,False,0.6,north carolina values coalition,north carolina values inst
2,False,0.7,america’s health insurance plans,medicaid health plans of america
3,True,0.9,ctr for global justice,global justice ctr
4,False,0.95,atlanta legal aid soc,legal aid chicago
5,False,0.8,american lands council,public lands council
6,False,0.95,arkansas school boards assn,california school boards assn
7,False,0.95,nevada mining assn,nevada trucking assn
8,False,0.7,unitarian universalist church,unitarian universalists for social justice
9,False,0.95,assn of arkansas counties,michigan assn of counties
10,False,0.7,equal justice ctr,equal justice soc
1,True,0.9,california farm bureau,state farm bureau org of california
2,False,0.8,wine and spirits wholesalers of america,wine and spirits wholesalers of tennessee
3,False,0.7,media action ctr,media research ctr
4,False,0.9,aclu of mississippi,mississippi ctr for justice
5,False,0.95,league of conservation voters,league of women voters florida
6,False,0.85,ctr for equal opportunity,natl assn for equal opportunity in higher education
